2026-01-30 20:52:55,216 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-30 20:53:01,588 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-30 20:53:01,672 | INFO | backend.app.rag | Ingesting 7 chunks
2026-01-30 20:55:30,562 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-30 20:56:23,936 | INFO | backend.app.rag | Ingesting 7 chunks
2026-01-30 21:01:02,295 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-30 21:01:08,474 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-30 21:01:08,558 | INFO | backend.app.rag | Ingesting 7 chunks
2026-01-30 21:12:26,824 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-30 21:12:33,689 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-30 21:12:59,148 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-30 21:13:06,156 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-30 21:13:21,552 | INFO | backend.app.rag | Ingesting 7 chunks
2026-01-30 21:31:24,858 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-30 21:31:31,805 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-30 21:31:31,888 | INFO | backend.app.rag | Ingesting 7 chunks
2026-01-30 21:31:54,732 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-30 21:32:01,673 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-30 21:32:30,982 | INFO | backend.app.rag | Ingesting 7 chunks
2026-01-30 21:44:20,805 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-30 21:44:27,560 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-30 21:44:27,564 | INFO | backend.app.rag | Query received: is manas jha is gratuated?
2026-01-30 21:44:27,693 | INFO | backend.app.rag | Retrieved 0 chunks, 0 passed similarity threshold
2026-01-30 21:44:27,693 | WARNING | backend.app.rag | No relevant context found — returning I don't know
2026-01-30 21:44:40,961 | INFO | backend.app.rag | Ingesting 7 chunks
2026-01-30 21:44:41,046 | INFO | backend.app.vector_store | FAISS index size: 7
2026-01-30 21:44:41,046 | INFO | backend.app.rag | Document indexed successfully
2026-01-30 21:45:27,284 | INFO | backend.app.rag | Query received: is manas is gratuated or not?
2026-01-30 21:45:27,331 | INFO | backend.app.rag | Retrieved 3 chunks, 0 passed similarity threshold
2026-01-30 21:45:27,332 | WARNING | backend.app.rag | No relevant context found — returning I don't know
2026-01-30 21:48:18,100 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-30 21:48:24,901 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-30 21:48:34,617 | INFO | backend.app.rag | Query received: is manas is gratuated or not?
2026-01-30 21:48:34,773 | INFO | backend.app.rag | Retrieved 3 chunks, 0 passed similarity threshold
2026-01-30 21:48:34,773 | WARNING | backend.app.rag | No relevant context found — returning I don't know
2026-01-30 21:48:39,925 | INFO | backend.app.rag | Ingesting 7 chunks
2026-01-30 21:48:40,011 | INFO | backend.app.vector_store | FAISS index size: 14
2026-01-30 21:48:40,011 | INFO | backend.app.rag | Document indexed successfully
